2025-05-19 18:47:08,916 - INFO - Starting Epoch 1...
2025-05-19 21:29:33,356 - INFO - Epoch 1 (Step 048000): Train loss 5.755, Val loss 5.602Validation Perplexity: 318.08
2025-05-19 21:32:52,749 - INFO - Epoch 1 (Step 049000): Train loss 5.715, Val loss 5.574Validation Perplexity: 314.76
2025-05-19 21:36:11,959 - INFO - Epoch 1 (Step 050000): Train loss 5.793, Val loss 5.574Validation Perplexity: 306.11
2025-05-19 21:39:30,483 - INFO - Epoch 1 (Step 051000): Train loss 5.711, Val loss 5.546Validation Perplexity: 301.44
2025-05-19 21:42:49,036 - INFO - Epoch 1 (Step 052000): Train loss 5.670, Val loss 5.526Validation Perplexity: 296.70
2025-05-19 21:46:09,138 - INFO - Epoch 1 (Step 053000): Train loss 5.627, Val loss 5.521Validation Perplexity: 291.29
2025-05-19 21:49:30,499 - INFO - Epoch 1 (Step 054000): Train loss 5.772, Val loss 5.511Validation Perplexity: 288.21
2025-05-19 21:52:49,977 - INFO - Epoch 1 (Step 055000): Train loss 5.723, Val loss 5.482Validation Perplexity: 282.20
2025-05-19 21:56:09,318 - INFO - Epoch 1 (Step 056000): Train loss 5.763, Val loss 5.460Validation Perplexity: 275.70
2025-05-19 21:59:28,351 - INFO - Epoch 1 (Step 057000): Train loss 5.604, Val loss 5.463Validation Perplexity: 273.15
2025-05-19 22:02:48,747 - INFO - Epoch 1 (Step 058000): Train loss 5.604, Val loss 5.442Validation Perplexity: 271.53
2025-05-19 22:06:09,159 - INFO - Epoch 1 (Step 059000): Train loss 5.460, Val loss 5.407Validation Perplexity: 265.11
2025-05-19 22:09:24,062 - INFO - Epoch 1 (Step 060000): Train loss 5.414, Val loss 5.402Validation Perplexity: 262.92
2025-05-19 22:12:44,650 - INFO - Epoch 1 (Step 061000): Train loss 5.620, Val loss 5.393Validation Perplexity: 259.54
2025-05-19 22:16:01,269 - INFO - Epoch 1 (Step 062000): Train loss 5.432, Val loss 5.393Validation Perplexity: 256.44
2025-05-19 22:19:21,108 - INFO - Epoch 1 (Step 063000): Train loss 5.588, Val loss 5.366Validation Perplexity: 251.30
2025-05-19 22:22:42,204 - INFO - Epoch 1 (Step 064000): Train loss 5.454, Val loss 5.350Validation Perplexity: 247.85
2025-05-19 22:26:01,644 - INFO - Epoch 1 (Step 065000): Train loss 5.580, Val loss 5.329Validation Perplexity: 243.90
2025-05-19 22:29:20,259 - INFO - Epoch 1 (Step 066000): Train loss 5.477, Val loss 5.333Validation Perplexity: 240.33
2025-05-19 22:32:39,942 - INFO - Epoch 1 (Step 067000): Train loss 5.403, Val loss 5.309Validation Perplexity: 236.33
2025-05-19 22:35:59,235 - INFO - Epoch 1 (Step 068000): Train loss 5.523, Val loss 5.306Validation Perplexity: 233.79
2025-05-19 22:39:19,370 - INFO - Epoch 1 (Step 069000): Train loss 5.470, Val loss 5.298Validation Perplexity: 231.33
2025-05-19 22:42:41,445 - INFO - Epoch 1 (Step 070000): Train loss 5.283, Val loss 5.287Validation Perplexity: 229.88
2025-05-19 22:46:01,554 - INFO - Epoch 1 (Step 071000): Train loss 5.352, Val loss 5.283Validation Perplexity: 227.26
2025-05-19 22:49:17,331 - INFO - Epoch 1 (Step 072000): Train loss 5.386, Val loss 5.260Validation Perplexity: 223.03
2025-05-19 22:52:36,837 - INFO - Epoch 1 (Step 073000): Train loss 5.390, Val loss 5.277Validation Perplexity: 221.68
2025-05-19 22:55:54,925 - INFO - Epoch 1 (Step 074000): Train loss 5.274, Val loss 5.226Validation Perplexity: 217.00
2025-05-19 22:59:15,612 - INFO - Epoch 1 (Step 075000): Train loss 5.363, Val loss 5.234Validation Perplexity: 216.11
2025-05-19 23:02:37,024 - INFO - Epoch 1 (Step 076000): Train loss 5.389, Val loss 5.186Validation Perplexity: 212.19
2025-05-19 23:05:55,132 - INFO - Epoch 1 (Step 077000): Train loss 5.463, Val loss 5.195Validation Perplexity: 211.05
2025-05-19 23:09:14,309 - INFO - Epoch 1 (Step 078000): Train loss 5.309, Val loss 5.200Validation Perplexity: 209.42
2025-05-19 23:12:34,404 - INFO - Epoch 1 (Step 079000): Train loss 5.291, Val loss 5.175Validation Perplexity: 206.49
