2025-04-02 19:35:35,634 - INFO - Starting Epoch 1...
2025-04-02 19:48:36,163 - INFO - Epoch 1 (Step 060000): Train loss 4.634, Val loss 4.814
2025-04-02 19:48:48,576 - INFO - Epoch 1 (Step 061000): Train loss 4.666, Val loss 4.815
2025-04-02 19:49:02,327 - INFO - Epoch 1 (Step 062000): Train loss 4.376, Val loss 4.779
2025-04-02 19:49:14,784 - INFO - Epoch 1 (Step 063000): Train loss 4.773, Val loss 4.751
2025-04-02 19:49:28,519 - INFO - Epoch 1 (Step 064000): Train loss 4.492, Val loss 4.771
2025-04-02 19:49:40,944 - INFO - Epoch 1 (Step 065000): Train loss 4.632, Val loss 4.757
2025-04-02 19:49:53,460 - INFO - Epoch 1 (Step 066000): Train loss 4.340, Val loss 4.775
2025-04-02 19:50:07,306 - INFO - Epoch 1 (Step 067000): Train loss 4.672, Val loss 4.786
2025-04-02 19:50:19,828 - INFO - Epoch 1 (Step 068000): Train loss 4.439, Val loss 4.800
2025-04-02 19:50:33,600 - INFO - Epoch 1 (Step 069000): Train loss 4.607, Val loss 4.786
2025-04-02 19:50:46,100 - INFO - Epoch 1 (Step 070000): Train loss 4.379, Val loss 4.755
2025-04-02 19:50:58,604 - INFO - Epoch 1 (Step 071000): Train loss 4.334, Val loss 4.774
2025-04-02 19:51:12,352 - INFO - Epoch 1 (Step 072000): Train loss 4.508, Val loss 4.750
2025-04-02 19:51:24,711 - INFO - Epoch 1 (Step 073000): Train loss 4.604, Val loss 4.755
2025-04-02 19:51:37,183 - INFO - Epoch 1 (Step 074000): Train loss 4.479, Val loss 4.765
2025-04-02 19:51:50,905 - INFO - Epoch 1 (Step 075000): Train loss 4.529, Val loss 4.734
2025-04-02 19:52:03,420 - INFO - Epoch 1 (Step 076000): Train loss 4.489, Val loss 4.728
2025-04-02 19:52:17,224 - INFO - Epoch 1 (Step 077000): Train loss 4.462, Val loss 4.748
2025-04-02 19:52:29,686 - INFO - Epoch 1 (Step 078000): Train loss 4.478, Val loss 4.719
2025-04-02 19:52:42,152 - INFO - Epoch 1 (Step 079000): Train loss 4.357, Val loss 4.732
2025-04-02 19:52:55,939 - INFO - Epoch 1 (Step 080000): Train loss 4.399, Val loss 4.722
2025-04-02 19:53:08,311 - INFO - Epoch 1 (Step 081000): Train loss 4.521, Val loss 4.719
2025-04-02 19:53:22,032 - INFO - Epoch 1 (Step 082000): Train loss 4.346, Val loss 4.695
2025-04-02 19:53:34,301 - INFO - Epoch 1 (Step 083000): Train loss 4.348, Val loss 4.694
2025-04-02 19:53:46,726 - INFO - Epoch 1 (Step 084000): Train loss 4.499, Val loss 4.695
2025-04-02 19:54:00,569 - INFO - Epoch 1 (Step 085000): Train loss 4.256, Val loss 4.664
2025-04-02 19:54:13,031 - INFO - Epoch 1 (Step 086000): Train loss 4.450, Val loss 4.653
2025-04-02 19:54:25,455 - INFO - Epoch 1 (Step 087000): Train loss 4.291, Val loss 4.661
2025-04-02 19:54:39,206 - INFO - Epoch 1 (Step 088000): Train loss 4.397, Val loss 4.657
2025-04-02 19:54:51,571 - INFO - Epoch 1 (Step 089000): Train loss 4.351, Val loss 4.645
2025-04-02 19:55:05,316 - INFO - Epoch 1 (Step 090000): Train loss 4.314, Val loss 4.642
2025-04-02 19:55:17,756 - INFO - Epoch 1 (Step 091000): Train loss 4.346, Val loss 4.638
2025-04-02 19:55:30,210 - INFO - Epoch 1 (Step 092000): Train loss 4.276, Val loss 4.634
2025-04-02 19:55:44,050 - INFO - Epoch 1 (Step 093000): Train loss 4.628, Val loss 4.636
2025-04-02 19:55:56,492 - INFO - Epoch 1 (Step 094000): Train loss 4.392, Val loss 4.630
2025-04-02 19:56:10,260 - INFO - Epoch 1 (Step 095000): Train loss 4.410, Val loss 4.621
2025-04-02 19:56:22,721 - INFO - Epoch 1 (Step 096000): Train loss 4.362, Val loss 4.629
2025-04-02 19:56:35,220 - INFO - Epoch 1 (Step 097000): Train loss 4.219, Val loss 4.591
2025-04-02 19:56:49,047 - INFO - Epoch 1 (Step 098000): Train loss 4.196, Val loss 4.617
2025-04-02 19:57:01,571 - INFO - Epoch 1 (Step 099000): Train loss 4.350, Val loss 4.574
2025-04-02 19:57:14,017 - INFO - Epoch 1 (Step 100000): Train loss 4.281, Val loss 4.594
2025-04-02 19:57:27,773 - INFO - Epoch 1 (Step 101000): Train loss 4.573, Val loss 4.610
2025-04-02 19:57:40,194 - INFO - Epoch 1 (Step 102000): Train loss 4.372, Val loss 4.605
2025-04-02 19:57:53,962 - INFO - Epoch 1 (Step 103000): Train loss 4.291, Val loss 4.614
2025-04-02 19:58:06,500 - INFO - Epoch 1 (Step 104000): Train loss 4.492, Val loss 4.627
2025-04-02 19:58:18,997 - INFO - Epoch 1 (Step 105000): Train loss 4.350, Val loss 4.607
2025-04-02 19:58:32,827 - INFO - Epoch 1 (Step 106000): Train loss 4.377, Val loss 4.627
2025-04-02 19:58:45,298 - INFO - Epoch 1 (Step 107000): Train loss 4.217, Val loss 4.609
2025-04-02 19:58:59,093 - INFO - Epoch 1 (Step 108000): Train loss 4.256, Val loss 4.615
2025-04-02 19:59:11,525 - INFO - Epoch 1 (Step 109000): Train loss 4.303, Val loss 4.590
2025-04-02 19:59:23,894 - INFO - Epoch 1 (Step 110000): Train loss 4.288, Val loss 4.595
